,speed,latitude,timestamp,longitude,vehicle_id,vehicle
4,109,28.610145384575965,1779785011.0736592,77.20686803975528,CAR101,
5,90,28.614694114267156,1779708493.975741,77.20720729808076,CAR101,
8,96,28.608088977155408,1779777785.5510058,77.19593172461582,CAR101,
11,100,28.60143638004631,1779770471.9320397,77.19383960070893,CAR101,
12,88,28.61733653410153,1779776777.8602588,77.20706837015958,CAR101,
13,114,28.616419522239163,1779696586.5086477,77.19586852029784,CAR101,
15,86,28.60028011433309,1779785354.5829298,77.2048137049078,CAR101,
16,90,28.618592735653156,1779702071.9363072,77.19464094713142,CAR101,
25,92,28.61839282883397,1779706962.4437428,77.19439091742129,CAR101,
29,94,28.615184396425693,1779699961.399625,77.19950551046486,CAR101,
30,94,28.608184997803484,1779702310.695825,77.2064106172888,CAR101,
31,87,28.600721766144094,1779708476.2544363,77.20662317266846,CAR101,
32,100,28.617186436787062,1779784950.8092434,77.19290632320002,CAR101,
34,106,28.611980461584245,1779698966.5565655,77.20132714473631,CAR101,
42,108,28.61085999371349,1779787782.74805,77.20919534409414,CAR101,
43,99,28.609089894810854,1779710597.6736212,77.20097301093946,CAR101,
44,109,28.61433940161304,1779787045.5308917,77.20787449550738,CAR101,
45,117,28.610668085072664,1779710960.0993526,77.1925894005975,CAR101,
47,102,28.604899444974514,1779776219.7828038,77.19474438060459,CAR101,
49,88,28.609333273384802,1779706204.5730836,77.20322323700827,CAR101,
52,117,28.602376196035845,1779708380.4846108,77.204204820993,CAR101,
55,100,28.609229212214398,1779778052.1598444,77.20710212907726,CAR101,
56,91,28.618358636795552,1779707769.3656828,77.20355450242418,CAR101,
62,101,28.618929595746696,1779709293.5852668,77.19928366875139,CAR101,
63,114,28.610378130320623,1779707388.9970968,77.19814887907037,CAR101,
65,106,28.61532834138182,1779773539.4943082,77.20268496083756,CAR101,
66,84,28.60698067927907,1779785638.4633718,77.20214599240954,CAR101,
67,96,28.618106885717218,1779772014.2762697,77.19933566361782,CAR101,
70,90,28.600058861705264,1779786559.637541,77.20562515952984,CAR101,
71,83,28.60819547237639,1779771423.9468338,77.20405421222534,CAR101,
74,91,28.61432366421038,1779700954.1601346,77.20377634323258,CAR101,
88,96,28.61117060524147,1779775947.463862,77.20750418819053,CAR101,
90,84,28.609418459935636,1779701143.7715003,77.20169636088517,CAR101,
91,100,28.614714981681555,1779785177.6033342,77.19035421697708,CAR101,
100,92,28.61992778139153,1779782447.9295213,77.19923581396294,CAR101,
101,90,28.604206375719418,1779693007.4647484,77.20193908049015,CAR101,
104,106,28.61790547743303,1779701243.700715,77.2016845549446,CAR101,
107,109,28.60477927778774,1779777875.5786033,77.19729381125855,CAR101,
109,118,28.606976528795816,1779696823.7505352,77.19676718164128,CAR101,
110,112,28.603107751674226,1779779067.7928896,77.19950091237286,CAR101,
114,118,28.603457820603133,1779711455.4361796,77.20345944077181,CAR101,
118,97,28.60880980053183,1779770351.4367685,77.2065190682546,CAR101,
120,107,28.61696117905874,1779787754.4412372,77.19752820111712,CAR101,
125,87,28.602605701397856,1779774883.060218,77.20890237624391,CAR101,
126,89,28.601999504797025,1779698419.2976084,77.19317816415976,CAR101,
131,104,28.61101699209923,1779787577.3040066,77.19076259363472,CAR101,
133,116,28.60982655210392,1779778476.6579149,77.19866885286176,CAR101,
136,99,28.611736170016364,1779789915.5751052,77.19580613841197,CAR101,
137,114,28.608058407442538,1779712625.7438383,77.1980389437987,CAR101,
138,99,28.60691080518118,1779788057.710248,77.19441734944623,CAR101,
139,102,28.616073043540737,1779784593.6237154,77.19112712116173,CAR101,
140,95,28.60104717006724,1779708540.0758755,77.20969671048972,CAR101,
142,112,28.61998126326852,1779708813.961367,77.19724542776638,CAR101,
143,103,28.616036094876304,1779777872.0276859,77.20623434079783,CAR101,
146,108,28.61176368834139,1779770298.2840152,77.19217827348791,CAR101,
151,106,28.607505201194243,1779698051.5266225,77.19975499493312,CAR101,
152,113,28.603512195991776,1779711069.807403,77.19494279045324,CAR101,
153,83,28.61044586684723,1779773318.3933656,77.19977857683833,CAR101,
154,102,28.612066091475494,1779702425.3135293,77.19550279271124,CAR101,
157,116,28.6028291742393,1779708124.691723,77.20722076506658,CAR101,
158,89,28.61448639985006,1779776101.3521025,77.19240250466126,CAR101,
160,85,28.606358417000063,1779701852.662229,77.20843452133592,CAR101,
161,85,28.606458525355155,1779710016.583067,77.20386879297219,CAR101,
162,98,28.617290085048616,1779712785.8979173,77.19449027507756,CAR101,
165,93,28.60004008597821,1779712524.1609688,77.19630811116889,CAR101,
167,97,28.614541050282455,1779712246.7755513,77.20377192326043,CAR101,
168,96,28.618812859998194,1779776604.8624763,77.20035777388537,CAR101,
175,102,28.607753947454913,1779773504.1274545,77.19856004571616,CAR101,
178,105,28.610598465603296,1779706726.7910483,77.19809766147745,CAR101,
180,96,28.605697971584142,1779710779.327517,77.20246658241382,CAR101,
182,86,28.601528237894787,1779708959.103599,77.19671341467773,CAR101,
183,111,28.61197585692911,1779771520.9001138,77.19364984322102,CAR101,
186,91,28.600329179340555,1779771773.4336994,77.19003273290743,CAR101,
187,92,28.605403973036825,1779698394.5097432,77.19740213214591,CAR101,
195,82,28.615068814162672,1779776770.7967577,77.19260205092962,CAR101,
196,113,28.60487720192589,1779699136.9534142,77.19487008656284,CAR101,
203,103,28.611988119570658,1779776119.1584618,77.19631112777962,CAR101,
205,102,28.608337105596412,1779711891.478929,77.19687113036449,CAR101,
207,107,28.611036028871652,1779782064.1022666,77.19627425196532,CAR101,
209,111,28.6118169081494,1779775387.2678905,77.19115047014064,CAR101,
211,115,28.60948378554581,1779708774.9642034,77.20388420385902,CAR101,
212,120,28.608556676521776,1779700280.962402,77.20709210792408,CAR101,
213,101,28.604902423744083,1779787477.935963,77.19216208675317,CAR101,
218,115,28.609293411578,1779708867.1091852,77.20187645195752,CAR101,
220,106,28.611069403932625,1779711151.1540563,77.19956145023951,CAR101,
222,106,28.603338868123494,1779710942.3931158,77.20194845565257,CAR101,
224,90,28.604078942317884,1779774997.4075174,77.19504926036187,CAR101,
225,97,28.609207831303042,1779786258.2847571,77.19406230771646,CAR101,
226,110,28.61176420966687,1779771856.07456,77.1989077115038,CAR101,
228,120,28.609336801994203,1779776367.9140794,77.20024279390836,CAR101,
229,115,28.61984483628648,1779772198.7717066,77.20534460804579,CAR101,
232,118,28.602550159838852,1779693171.7603824,77.2077886080296,CAR101,
234,120,28.607471754037164,1779784590.0774224,77.19977659683029,CAR101,
236,83,28.606483669154237,1779775158.3398955,77.20572807934562,CAR101,
239,103,28.616861270711176,1779787878.4998477,77.20531996708073,CAR101,
240,119,28.601734315826832,1779707947.4029915,77.19533778577302,CAR101,
241,113,28.61259425796543,1779771140.5517693,77.20176571098122,CAR101,
243,96,28.607440162875616,1779701001.3539028,77.19702813472682,CAR101,
245,87,28.60156476746302,1779712535.0142543,77.19986430502712,CAR101,
246,83,28.611347430737652,1779698086.8595715,77.20396993089047,CAR101,
247,103,28.608889996128408,1779711315.1212826,77.20900538598632,CAR101,
250,91,28.60007823509937,1779777857.9084892,77.19292125841986,CAR101,
252,97,28.602858951811665,1779707140.0854285,77.20471295877971,CAR101,
258,83,28.607988628128133,1779773194.3838482,77.20325179417533,CAR101,
263,111,28.606008446613004,1779777109.0629838,77.19062220667323,CAR101,
265,103,28.605347105355758,1779702667.428614,77.20818610207964,CAR101,
266,93,28.614858024963947,1779712803.8123362,77.19688614458553,CAR101,
267,108,28.613482723653487,1779698405.1280026,77.209050784017,CAR101,
270,91,28.611964560828817,1779713367.4622328,77.20280806499086,CAR101,
275,115,28.617635019451786,1779700011.1153073,77.19408523054123,CAR101,
280,91,28.613906081239914,1779767690.9954815,77.20754344303587,CAR101,
281,116,28.6153595908017,1779787733.2144556,77.20833122169128,CAR101,
285,102,28.60520391723823,1779775254.9277592,77.1996625174403,CAR101,
286,85,28.614996731559025,1779782045.8108718,77.19153899153166,CAR101,
289,93,28.605569179243968,1779784519.3128462,77.19055561677891,CAR101,
290,113,28.615601876512212,1779700273.7625353,77.20642714276748,CAR101,
293,114,28.61895555784686,1779701196.9916189,77.20220678120084,CAR101,
294,90,28.60613292132474,1779701265.026216,77.19458647178521,CAR101,
295,119,28.606956428592238,1779776472.5493147,77.2076889639021,CAR101,
297,107,28.618378138243912,1779698763.9669173,77.19832886756234,CAR101,
299,101,28.614593959963745,1779779138.892046,77.19309642038257,CAR101,
303,90,28.614287536515942,1779693893.254713,77.20168389366502,CAR101,
307,120,28.600370465040253,1779782483.8379884,77.20425381289049,CAR101,
308,101,28.608462007324306,1779712268.8656225,77.20871199513414,CAR101,
314,107,28.608949592720872,1779788194.7449217,77.19737719095583,CAR101,
316,99,28.603100620905533,1779786021.0383391,77.20853948462124,CAR101,
317,99,28.603892062710283,1779782103.0538368,77.2069297774198,CAR101,
321,105,28.61053402537375,1779773271.631023,77.20489793384395,CAR101,
324,85,28.618037211637688,1779707154.3165028,77.20103181110042,CAR101,
326,117,28.618263847174045,1779703370.5355356,77.20215644427343,CAR101,
327,116,28.605680553481452,1779708313.1587238,77.19130776710173,CAR101,
333,94,28.61091916896526,1779782110.1281588,77.19092760378352,CAR101,
336,119,28.61334533636777,1779775986.9275894,77.2041618015984,CAR101,
338,86,28.615637519143696,1779707364.194374,77.19515306204968,CAR101,
340,85,28.60801356359185,1779775333.7221014,77.20072317075798,CAR101,
345,104,28.60819175002493,1779700964.796341,77.2020357331877,CAR101,
347,93,28.61874086985597,1779706442.2266738,77.19983428981831,CAR101,
357,86,28.615857636066178,1779773190.7577817,77.20526904453003,CAR101,
358,94,28.61719944211715,1779711811.2318523,77.19865898819492,CAR101,
362,91,28.602541185055976,1779713226.9272466,77.19833960249005,CAR101,
363,109,28.608972829092057,1779786662.4713879,77.20715166170828,CAR101,
366,81,28.60385180618751,1779701518.4714556,77.20759689699729,CAR101,
367,113,28.60762185739579,1779711920.6373398,77.20477813796215,CAR101,
370,95,28.612621354157756,1779702963.5893264,77.20187440901648,CAR101,
373,99,28.60069080968967,1779701948.933552,77.19994499320852,CAR101,
376,93,28.616814413209045,1779707449.3399239,77.20742693698098,CAR101,
378,94,28.605756891604077,1779777763.7353303,77.1989977236155,CAR101,
382,101,28.600023936534697,1779700675.2379963,77.19394963480919,CAR101,
385,89,28.61838692278366,1779697189.545733,77.20977595694639,CAR101,
387,90,28.60376415506407,1779786183.9269469,77.20410454749599,CAR101,
388,99,28.60355020627021,1779774893.691621,77.1903966195014,CAR101,
393,99,28.607676204815153,1779709856.6135466,77.2029086090021,CAR101,
396,116,28.60241413145497,1779785141.9727929,77.20805067668067,CAR101,
405,108,28.60671523827929,1779771719.162048,77.19145936320866,CAR101,
406,94,28.6173602601568,1779788279.7044325,77.2084876935848,CAR101,
407,88,28.61429109101199,1779776998.7412977,77.19614026795084,CAR101,
408,98,28.610469237321535,1779777721.1601734,77.20122375789494,CAR101,
410,106,28.6034014108304,1779788269.0772085,77.19619292589594,CAR101,
415,95,28.60525010957336,1779770291.4156861,77.19449313962625,CAR101,
416,105,28.618808345121423,1779775532.3568733,77.19418310414063,CAR101,
